,Model,Make,Year,Views Per Day 7,Views Per Day,Views Per Day 1,Views Per Day 2,Views Per Day 3,Views Per Day 4,Views Per Day 5,Views Per Day 6,Views,Days Online
750,Focus,Ford,2008.0,0.0,3445.7376190974765,2966.83058718719,2225.5628271573237,2183.0396032784624,2329.9213478057395,0.0,0.0,34371.25,179.52558573758822
746,3-Series,BMW,2014.0,0.0,2606.9206792277273,2447.7295337316787,2202.809334372309,1500.7972334044796,1716.6548988939785,0.0,0.0,34157.625,200.84079206008448
742,Focus,Ford,2017.0,0.0,3224.622516053041,3058.3570479674636,2478.5595557879174,2295.739916048397,2291.9829139547373,0.0,0.0,33690.5,175.3259443381769
734,A6,Audi,2013.0,0.0,2657.356278886813,2017.2274278870145,1984.8303657694962,1875.2611843326529,1931.407468879668,0.0,0.0,33647.125,199.34790567723167
760,3-Series,BMW,2010.0,0.0,2772.745297527505,2689.425984382788,1982.3318325381358,1868.5067194945657,1966.6192302605477,0.0,0.0,33610.0,192.07706757575855
740,Focus,Ford,2016.0,0.0,3314.15277528614,3098.640998959417,2756.0302337844964,2223.6984381152383,2482.1014690206935,0.0,0.0,33603.625,171.28979503753473
736,Passat,Volkswagen,2011.0,0.0,3492.509221128021,2925.2765693660544,2269.26571828702,2159.033772596339,2146.3087248322145,0.0,0.0,33355.125,177.19091797004097
756,Passat,Volkswagen,2016.0,0.0,3791.744900720911,3763.5166774426657,3148.0831153440154,3141.6751031659433,3080.5229325549058,0.0,0.0,33299.375,155.3706507722799
752,5-Series,BMW,2017.0,0.0,3883.0580948956754,3304.6155652684456,3012.45688252522,2769.3047289504034,2417.3373794581908,0.0,0.0,32813.875,161.84201124172978
776,Passat,Volkswagen,2008.0,0.0,2648.1108182379003,2573.329842361287,2105.2536640360768,2332.496499545555,2610.0524457892084,0.0,0.0,32619.875,179.7526886327817
758,E-Class,Mercedes-Benz,2014.0,0.0,2953.053228902971,2470.6169005673337,2023.58283304391,1776.7322974535405,2056.8047915611314,0.0,0.0,32153.25,187.4071548457904
762,Golf,Volkswagen,2017.0,0.0,3724.0991268997045,3369.2275096687404,2412.8455634804614,2445.2516941371923,2300.6764092753065,0.0,0.0,30889.375,163.5094472799077
774,3-Series,BMW,2008.0,0.0,2935.0012433262636,2885.6160667472136,2256.24950019992,2486.7113086419754,2339.5648636218916,0.0,0.0,30875.625,170.51851206124846
772,A4,Audi,2009.0,0.0,1976.78917083294,1843.1817254621185,1525.262513503781,1797.3266801414857,1695.9547717790251,0.0,0.0,30468.875,207.06435663588647
766,5-Series,BMW,2016.0,0.0,3661.9284833538836,3322.2120022791023,2386.9062051389583,2290.1711485746414,2336.0068101666056,0.0,0.0,29627.625,161.38493884894393
784,Focus,Ford,2010.0,0.0,3333.1700567317007,2417.127607651735,2123.323393944686,1783.1376172794016,2377.1300448430493,0.0,0.0,29441.0,173.92627097707273
754,A4,Audi,2010.0,0.0,2897.288878072524,2518.23347107438,1836.6017052375153,1557.0505984203082,1624.8223072717333,0.0,0.0,29419.500000000004,186.56904000377668
770,3-Series,BMW,2015.0,0.0,2447.557896041137,2421.7405951712526,2102.1694571283615,2074.663471085699,2145.9368395481597,0.0,0.0,29145.375,177.30543493508844
764,A6,Audi,2016.0,0.0,3578.0166534362497,3404.921266358358,2561.79694197766,2194.7608381999316,2728.4836910732192,0.0,0.0,29057.624999999996,156.78984036998813
794,A6,Audi,2015.0,0.0,3043.7728307217412,2805.9923029112074,2310.516609265637,2238.121476166069,2267.5436088075494,0.0,0.0,28414.125,165.2776069094548
788,5-Series,BMW,2012.0,0.0,2711.2078938414425,2262.032687908304,2021.4091141833076,2013.2151519688578,1890.2811129801723,0.0,0.0,28093.75,177.31047136766847
782,5-Series,BMW,2015.0,0.0,2975.1355729736097,2372.9559838056684,1478.8552074513125,1955.9808102345417,2100.750068637321,0.0,0.0,27982.125,178.20082787374443
768,A4,Audi,2008.0,0.0,3305.2077365394666,2737.462874030292,1992.3318235995232,1836.3087639862424,2325.430143428169,0.0,0.0,27947.375,168.19831442610268
786,A6,Audi,2014.0,0.0,2957.3442431326707,2357.5811126316034,1967.9936833793922,1854.5863648612233,1887.344678772087,0.0,0.0,27933.375,176.3904554029105
806,Golf,Volkswagen,2005.0,0.0,2224.163178432068,2468.728041050407,1887.9749294891885,2212.270265821743,2136.5962814676686,0.0,0.0,27755.25,175.76846605606718
778,A4,Audi,2015.0,0.0,3056.2583297767756,2395.159484156618,2043.9833710828866,1471.1134532861552,1737.2466094658178,0.0,0.0,27501.375,179.25355010669662
800,Golf,Volkswagen,2009.0,0.0,2692.8153688524594,2488.9555765307678,1931.4494669629546,1628.4037888555058,1605.0504156449972,0.0,0.0,27426.25,181.22765886752998
792,Focus,Ford,2014.0,0.0,2225.639017448497,2120.662108672184,1773.5720500635832,1543.6533293069606,1779.9283128427544,0.0,0.0,27064.25,187.018013090067
790,Passat,Volkswagen,2015.0,0.0,3093.8979412106805,3203.154066717952,2232.7325816333187,2095.3080535501504,2032.976720460634,0.0,0.0,26373.0,159.99115074866972
846,3-Series,BMW,2006.0,0.0,1758.6063968668407,1653.70278372591,1259.2115670848395,1576.2438542147236,1661.3686995967741,0.0,0.0,26291.5,203.81034982174688
796,A6,Audi,2012.0,0.0,2905.922020647489,2669.245832602211,2355.708346261247,1997.9203854426983,2551.818903089592,0.0,0.0,26287.125,159.66582373754497
798,A4,Audi,2014.0,0.0,2196.566940048516,2012.1263831915953,1723.130051426846,1353.476211226875,1449.1700182815357,0.0,0.0,25932.5,191.0192874185305
842,A4,Audi,2011.0,0.0,1930.7975018286163,2154.080235863957,1697.4174904942965,2088.7177738607797,1709.1250467150012,0.0,0.0,25809.5,180.88260263190537
816,Passat,Volkswagen,2007.0,0.0,2101.0905882352945,2050.726719851179,1580.1128288820767,1667.1800242993002,1365.8073791954298,0.0,0.0,25534.0,188.97850220766634
780,E-Class,Mercedes-Benz,2010.0,0.0,3016.696389515125,2203.7580887754034,1794.7239496795632,1501.3000093958472,1466.8466730954676,0.0,0.0,25198.875,176.53930951098332
804,Focus,Ford,2012.0,0.0,2705.008206330598,2318.828015729621,2019.0901683449922,1914.6647995799055,1851.4151152259235,0.0,0.0,24820.375,167.10304041428807
814,A4,Audi,2016.0,0.0,3079.5783146867216,2924.3194994334685,2204.6785366691474,2302.6511414549545,2336.4177131964607,0.0,0.0,24608.0,153.77417814101437
854,Golf,Volkswagen,2006.0,0.0,1984.5279637107928,1849.299564900279,1422.8081396994312,2115.332501870791,1698.491854070383,0.0,0.0,24514.25,182.17324210666567
832,Octavia,Skoda,2017.0,0.0,2431.471326227503,2329.4800060291027,1940.8859391966,1888.0230859410226,1924.5586889118563,0.0,0.0,24376.75,167.99869246205273
834,5-Series,BMW,2014.0,0.0,2452.267880213656,2325.7384044871455,1933.0151843817785,2305.7315868584924,1662.7841296506745,0.0,0.0,24295.375,166.88059928129735
802,5-Series,BMW,2013.0,0.0,2967.78981118632,2428.994929551137,1952.9929192332045,1779.856322553382,1804.5866413120987,0.0,0.0,24284.75,164.89763199008564
826,Mondeo,Ford,2015.0,0.0,2410.322038751551,2278.2491319607366,1526.607673818214,1757.9959278650379,1833.7800371659866,0.0,0.0,24279.0,173.82817647087955
824,Focus,Ford,2007.0,0.0,1983.5284365645869,1756.4183927543163,1348.0649651972158,1485.9266768625737,1350.063758788787,0.0,0.0,24213.25,194.27195995487904
812,Tucson,Hyundai,2017.0,0.0,3456.1894116451576,3554.089631711285,2708.196677204547,1825.4521134296415,2507.3558876270176,0.0,0.0,24133.25,147.4188978109997
808,E-Class,Mercedes-Benz,2015.0,0.0,2241.1471129256583,2008.6792676423534,1398.9210191082802,1108.1323851914904,1739.5983991647815,0.0,0.0,23700.375,184.98870114901035
820,5-Series,BMW,2018.0,0.0,2766.2317190054687,2414.2489374990478,1988.537144548789,2017.9578943887818,2223.6732458142383,0.0,0.0,23606.25,159.1739459493966
810,Mondeo,Ford,2008.0,0.0,2471.1852205643545,2164.311944244172,1508.8470086771197,1647.80592932335,1560.6020117478004,0.0,0.0,23519.25,175.04581356074777
828,A3,Audi,2016.0,0.0,2413.4381591562806,1967.5892956233781,1762.5762155187583,1783.4218291341838,1926.1323990681803,0.0,0.0,23475.5,170.2335143677549
838,E-Class,Mercedes-Benz,2017.0,0.0,2120.7814996496145,2050.491771350667,1838.030066972867,1658.819858617047,1468.806883097705,0.0,0.0,23211.5,175.66603532356913
836,Focus,Ford,2006.0,0.0,1807.6009417304297,1954.274435626465,1587.1764950838635,1669.1527753909609,1603.966664332236,0.0,0.0,23210.625,180.92467532617357
864,Focus,Ford,2013.0,0.0,1775.1803440883855,1910.2624490348014,1618.4662532540372,1334.7272241992885,1341.934079081175,0.0,0.0,22761.125,187.2347302679421
830,Passat,Volkswagen,2017.0,0.0,2410.5714855995584,2343.762430072672,1913.6576060185394,1676.342532078426,1673.5234996183228,0.0,0.0,22689.125,166.11357158563285
860,A6,Audi,2017.0,0.0,3590.8826086956515,3345.0314935274037,2721.604919101891,2351.5966617754952,2670.77510005961,0.0,0.0,22670.75,141.63075993393525
818,Passat,Volkswagen,2012.0,0.0,2344.9302165544827,2058.670180061484,1580.5801943071417,1435.1579349904396,1137.835795259361,0.0,0.0,22655.25,180.4830921169937
822,Golf,Volkswagen,2007.0,0.0,2471.2900269444544,2192.3936347562517,1755.4820280885501,1449.265382648713,1763.4703244876948,0.0,0.0,22344.25,167.37900620148727
869,Mondeo,Ford,2016.0,0.0,2094.774288302845,2181.661090608078,1907.2906904533395,1678.7428417798092,1791.1413897713974,0.0,0.0,22176.5,167.19830579840968
883,C-Class,Mercedes-Benz,2014.0,0.0,1471.8047737350232,1643.7419121186824,1417.3177859778596,1288.589570906292,1184.7413519517613,0.0,0.0,21994.375,196.63194902860133
852,Passat,Volkswagen,2009.0,0.0,1701.2173296533565,1538.850502512563,1380.5177635220946,1261.0834310453683,1117.454680049453,0.0,0.0,21594.125,194.8829063190475
867,Passat,Volkswagen,2010.0,0.0,1544.8529524756502,1523.6702349506465,1013.2151855922889,1201.402835036991,1171.3128592884148,0.0,0.0,21475.0,203.93987847382797
866,Tiguan,Volkswagen,2017.0,0.0,1887.2797489741733,1901.4951412016972,1622.360222834599,1449.5021013006158,1832.7713631245872,0.0,0.0,20995.125,170.9605598560609
840,Tucson,Hyundai,2016.0,0.0,2811.676595744681,2613.034664795047,2041.139132031179,1674.670068560199,1855.4388608453248,0.0,0.0,20917.25,153.62159100716255
856,3-Series,BMW,2017.0,0.0,2758.9632468211116,2624.4577065351414,1949.486301369863,1958.3011744091448,1774.9555012832188,0.0,0.0,20632.25,152.4480562219416
877,Superb,Skoda,2017.0,0.0,2159.835082180332,2016.7593544888462,1731.492102972267,1493.7807335220912,1636.165435745938,0.0,0.0,20439.0,166.3029711673383
844,C-Class,Mercedes-Benz,2013.0,0.0,1610.8177161795722,1506.0919667590026,1347.3343511450382,856.7433956736169,1076.523656776263,0.0,0.0,20378.875,197.15105021569866
850,Avensis,Toyota,2010.0,0.0,1971.0418049104178,1805.2276272412962,1465.0705249082869,1193.2012678288431,803.0188261351052,0.0,0.0,20180.5,185.0009172998756
862,Golf,Volkswagen,2018.0,0.0,2030.6230663293084,1949.7746849058053,1568.941265060241,1618.3564212515444,1450.8567736895086,0.0,0.0,19880.625,167.3878286897642
848,A4,Audi,2012.0,0.0,2495.898294573643,1848.6935344955598,1859.7681740125934,1024.8044883783061,975.9622736842107,0.0,0.0,19791.125,173.59313091098258
858,Octavia,Skoda,2016.0,0.0,2084.214359983139,1955.568327769965,1591.8070126706696,1664.1025279548876,1409.6554811733156,0.0,0.0,19773.0,166.06619515982706
881,3-Series,BMW,2016.0,0.0,2714.079275513758,2461.701467523259,1875.6885544121792,1686.0153567638429,1632.711796490802,0.0,0.0,19499.625,153.14502967552676
894,Giulia,Alfa Romeo,2020.0,0.0,655.2038834951456,1035.3764258555134,1010.9333333333333,492.89340101522845,887.5627009646303,0.0,0.0,19478.0,258.47499999999997
875,E-Class,Mercedes-Benz,2016.0,0.0,2121.942919205937,1945.3427625100705,1501.3920481054597,1499.1133004926107,1423.1732466326057,0.0,0.0,19249.25,166.45814883631215
871,A4,Audi,2007.0,0.0,1796.3452484742807,1573.8070097755372,1303.788514129444,964.0323717789585,978.553748405858,0.0,0.0,18985.75,188.86937946311582
889,A4,Audi,2013.0,0.0,1982.5039749591422,1656.6580169598176,1245.6356341699125,1413.9988706945228,1268.6958377801493,0.0,0.0,18646.125,174.51998079110484
873,Astra,Opel,2008.0,0.0,2225.648394579416,1661.9865233753653,1305.0522477208426,1211.2261808802193,1483.6531680606536,0.0,0.0,18538.0,170.18949658010777
879,E-Class,Mercedes-Benz,2013.0,0.0,2187.3204792229203,1613.282771696975,1307.269155206287,1427.390698335941,1555.7207370879835,0.0,0.0,18481.5,167.32030737608108
897,A4,Audi,2006.0,0.0,1414.604194335485,1091.5861818402009,963.748186905984,1237.219608297601,1207.1602055114433,0.0,0.0,18450.375,196.91651990713052
903,A3,Audi,2015.0,0.0,1621.957188861527,1569.8175434863556,1129.2274830900676,1431.9608650875384,1384.7655502392342,0.0,0.0,18373.875,177.2296458637138
895,3-Series,BMW,2011.0,0.0,1678.1475492673067,1490.4688557577977,1406.7995778878153,1081.9971842776151,1383.759340541698,0.0,0.0,18283.875,177.69931902376908
885,Corolla,Toyota,2019.0,0.0,1581.5672784893702,1440.0129428895,1191.9810224172697,783.3444295302013,982.3292266587501,0.0,0.0,18249.625,194.854146941885
909,Mondeo,Ford,2017.0,0.0,1723.33182807176,1531.838998990279,1495.5804360636419,1232.8651685393256,1362.9505526468877,0.0,0.0,18227.5,173.51380747449744
920,Avensis,Toyota,2011.0,0.0,1287.9452726158872,1282.2207160147789,1200.914722509754,1153.866387434555,1132.0751445086705,0.0,0.0,18207.0,191.6782739268378
905,5-Series,BMW,2010.0,0.0,2083.587584111135,1645.962748091603,1280.7562156663278,1417.740523530253,1349.9132487459428,0.0,0.0,18146.375,169.73647560722463
899,Passat,Volkswagen,2006.0,0.0,1497.354846984583,1536.8961254937424,1145.3040958858153,1200.9206528604195,1048.0705044065255,0.0,0.0,18079.125,185.34540858496712
930,C-Class,Mercedes-Benz,2011.0,0.0,1574.8935816553962,1380.8211900984986,1101.4031890660594,1057.4597899357266,1100.0323337679272,0.0,0.0,17931.875,189.43495393847195
887,5-Series,BMW,2007.0,0.0,1573.0807453416148,1324.7590843604928,1148.5393258426966,893.4011995461177,959.8985736925515,0.0,0.0,17930.0,194.71460750635296
947,C-Class,Mercedes-Benz,2012.0,0.0,1342.3297431648716,1621.349329803078,1497.2784736623805,1173.4684036554538,1227.909452817633,0.0,0.0,17656.25,176.67369154295878
907,Octavia,Skoda,2015.0,0.0,1783.8906487307443,1703.4396662808222,1417.9509836697955,969.6481595386291,1213.389266155531,0.0,0.0,17571.5,172.88956428675775
922,Fiesta,Ford,2010.0,0.0,1704.7596002807395,1540.6018163093343,1001.4537551316107,1233.0863681991566,1248.135320177205,0.0,0.0,17308.0,177.83999683914556
901,Octavia,Skoda,2014.0,0.0,1553.6091587566118,1368.1227963525837,1222.013712681531,870.4432548179873,1314.0963333019135,0.0,0.0,17283.0,182.5374810976052
893,Corolla,Toyota,2005.0,0.0,1769.3140779640473,1627.3376051305343,1286.4777327935221,1056.7223742370027,1000.0995624032471,0.0,0.0,17195.875,177.37266863369157
924,Focus,Ford,2011.0,0.0,2028.7024859663188,2096.959280835083,1571.2912565141867,1919.226088373118,1944.9284999347228,0.0,0.0,17032.75,149.2155542121149
928,5-Series,BMW,2009.0,0.0,1597.469367173712,1393.9880205764218,843.8887836719445,810.1468811949657,1133.3635859598244,0.0,0.0,16902.375,191.60301928973803
955,A6,Audi,2011.0,0.0,1647.267689800353,1506.8822986146743,1004.0060060060059,824.6151650312222,1305.7136891556831,0.0,0.0,16786.5,183.3812020001669
933,X5,BMW,2008.0,0.0,1400.259587020649,1260.0111766532134,1168.5849056603774,835.2622274602239,1148.6932309169467,0.0,0.0,16522.375,184.9086388221154
953,Avensis,Toyota,2014.0,0.0,1101.1112601820794,901.7380732791145,839.5613577023499,833.247625079164,772.3015647226174,0.0,0.0,16217.124999999998,215.1418427773207
891,Superb,Skoda,2016.0,0.0,2089.5946055920476,1743.0967741935483,1357.528517110266,1375.75,1440.7699988389643,0.0,0.0,16149.625,157.1934981435114
935,Auris,Toyota,2016.0,0.0,1251.9697604893304,1221.6242680267803,1036.1984092552423,1039.9422757123932,934.6596858638743,0.0,0.0,15969.25,188.4221221110784
979,Astra,Opel,2007.0,0.0,1718.161249775543,1620.2432797717377,1212.5272804515384,1343.5132873459233,1042.0429249443487,0.0,0.0,15950.500000000002,168.37721475507766
915,Camaro,Chevrolet,1969.0,0.0,604.0576923076923,563.5535714285714,0.0,1057.7,994.1875,0.0,0.0,15814.375,235.375
951,E-Class,Mercedes-Benz,2012.0,0.0,1277.6013143483021,1083.113255747942,987.6201293028132,999.478796706067,1183.2535840188016,0.0,0.0,15782.625,187.1165467254865
957,C-Class,Mercedes-Benz,2015.0,0.0,1432.32683478608,1320.5246351503058,1154.1172915514642,1082.9918264614068,1097.9233206811296,0.0,0.0,15576.5,176.42511179312476
997,Mondeo,Ford,2010.0,0.0,1302.8023932729625,1603.5811860940694,1050.175238095238,1002.7596197374377,1056.1191210485736,0.0,0.0,15568.875,177.95472706094208
911,Passat,Volkswagen,2013.0,0.0,1388.691908091908,1356.1789983206559,966.672845227062,904.3680774297699,862.0465815176559,0.0,0.0,15371.375,184.67791434788813
913,Corsa,Opel,2007.0,0.0,1537.6778193479422,1338.7396522714528,938.6341729562608,1083.044846577498,1015.606729955823,0.0,0.0,15367.875,177.88432479684474
965,Corolla,Toyota,2006.0,0.0,1216.5366700658712,1176.9145666871543,925.4940036457833,1035.5245869002588,1153.4433962264154,0.0,0.0,15351.375,184.49447322096387
916,Auris,Toyota,2008.0,0.0,1625.8601196616464,1526.0968421052632,1145.7272603670972,1260.9580348004097,1009.900910545432,0.0,0.0,15272.625,168.07850661777394
932,C-Class,Mercedes-Benz,2017.0,0.0,2188.926610340544,1806.935997365243,1556.5063407885634,1479.8329657821723,1441.8442871587463,0.0,0.0,15180.249999999998,149.64776165268137
943,Passat,Volkswagen,2014.0,0.0,1510.604961585224,1417.3168753941795,1030.6209354120267,1089.4515463917526,1192.8717545239967,0.0,0.0,15173.625,171.93317822551168
926,E-Class,Mercedes-Benz,2018.0,0.0,1699.9047121200806,1524.0590214858917,1132.0918642241377,1392.1811438610189,1195.79744439186,0.0,0.0,15166.125,163.24704395397094
945,Sportage,Kia,2017.0,0.0,1637.745187572746,1696.208507817426,1213.5891973496603,1267.2663445660817,1173.3343891357924,0.0,0.0,15089.75,162.5742963172914
959,Megane,Renault,2010.0,0.0,1347.6498744135351,1107.6887159533076,1006.9968152866242,1248.1670533642691,1213.783269191817,0.0,0.0,15065.375,176.19535581866387
1023,Phantom,Rolls-Royce,2007.0,0.0,421.0,775.9032258064516,752.03125,688.7714285714286,652.3243243243244,0.0,0.0,15044.75,254.625
937,C-Class,Mercedes-Benz,2016.0,0.0,1790.7456394582914,1568.8144062635251,1321.7737076756237,1330.7197582748145,1217.9822938028308,0.0,0.0,15017.125,159.35010721740477
961,X5,BMW,2016.0,0.0,1351.6430589381393,1309.8766705744429,1142.4177044912128,1023.3360995850621,1063.4287532818842,0.0,0.0,15000.125,175.83670279020222
999,5-Series,BMW,2006.0,0.0,1058.298468479164,1030.3185431760328,959.0878151782387,1003.3035244608102,931.9682702149437,0.0,0.0,14987.875,192.04401845026842
985,A3,Audi,2014.0,0.0,1401.882009960724,1424.0099407938014,826.8796510835491,1036.874160322436,1182.588056872038,0.0,0.0,14894.375000000002,176.68510708154588
963,A4,Audi,2005.0,0.0,969.3134099616858,794.5829272299185,536.1640798226164,538.1514549693464,670.7858208099117,0.0,0.0,14824.375000000002,238.23962273950235
939,Prius,Toyota,2014.0,0.0,1583.1872153365175,1577.9704778389314,1191.484112460489,1045.4042553191491,1066.2221557781431,0.0,0.0,14628.75,166.10388884444296
972,C-Class,Mercedes-Benz,2008.0,0.0,1380.616877971474,1016.8865808059826,706.8729604675705,702.7743064233941,699.2780487804879,0.0,0.0,14457.375,203.11032006701333
995,Corolla,Toyota,2004.0,0.0,1070.428369266628,981.1924050632912,715.216529480934,673.7470863197258,808.358329508949,0.0,0.0,14450.25,207.35572895535975
949,Avensis,Toyota,2016.0,0.0,1243.3123397870079,1110.7735317520053,812.9003690036901,895.0764340759841,938.1172909974249,0.0,0.0,14403.249999999998,187.15170677129953
1007,E-Class,Mercedes-Benz,2011.0,0.0,1639.7242065961418,1355.563187226992,1194.0024519820188,1135.5660250370172,986.0913400948207,0.0,0.0,14392.375,167.57836234945609
918,Tucson,Hyundai,2018.0,0.0,1616.5991523533348,1362.4980705239316,1171.6481149012566,814.2815255497717,1141.3702279416505,0.0,0.0,14389.249999999998,169.16190292948107
967,Qashqai,Nissan,2008.0,0.0,1740.556215110258,1140.6624334992277,860.9296244071272,856.979797444665,960.3952472100832,0.0,0.0,14346.25,180.70055517399268
970,Avensis,Toyota,2007.0,0.0,1367.954392632656,1359.482249928619,994.1890590336021,743.3583849217301,919.1420758530495,0.0,0.0,14251.75,179.69988118810954
987,Octavia,Skoda,2007.0,0.0,1389.7586058783825,1133.0651899349073,937.6279731652776,771.0226071389692,795.0898972602739,0.0,0.0,14175.75,187.78524343263732
993,Corolla,Toyota,2007.0,0.0,1311.4555082906502,1062.2805877619148,832.6349368380759,1037.3980522491884,1078.4746256105057,0.0,0.0,14139.75,180.57659768001795
989,3-Series,BMW,2009.0,0.0,1258.455656812625,1071.7963471183875,858.818096723869,634.6518459706233,794.6402877697842,0.0,0.0,14072.25,196.08664655847014
981,A4,Audi,2017.0,0.0,1957.3515263644772,1816.7707780321687,1621.0276318794247,1347.8368505054088,1632.7098722415794,0.0,0.0,14060.375,145.47073154831563
941,QASHQAI,Nissan,2017.0,0.0,1776.4285714285716,1730.8654778452599,1463.2972944294634,1318.186408438527,1119.144597181138,0.0,0.0,13992.125,152.73572034027347
1015,A6,Audi,2008.0,0.0,1141.5728073856483,856.8734464120208,690.8630419821061,781.5494109160857,1003.7811025163023,0.0,0.0,13875.0,197.5015596955128
974,Corolla,Toyota,2016.0,0.0,979.7620826478272,922.5207475571577,691.901134382947,710.6694360457474,641.2019914651494,0.0,0.0,13869.875,210.14066416708923
1088,Cooper,Mini,2008.0,0.0,1099.517679057117,743.1089921864655,512.1307597182644,573.4210232972913,667.7355836849507,0.0,0.0,13861.25,230.0352734071484
1005,Avensis,Toyota,2009.0,0.0,1256.2506826160447,1355.3428193249504,1118.3615327459931,1225.7741395348837,1061.1837267228088,0.0,0.0,13814.25,166.99188815397224
977,Corolla,Toyota,2015.0,0.0,1124.2184557438795,1027.5,824.3514938488577,830.9699446109144,753.1458385929479,0.0,0.0,13767.375,192.52203663793102
991,3-Series,BMW,2005.0,0.0,1141.4237163024588,955.7839903579252,697.448275862069,612.2230380908674,689.1533039246897,0.0,0.0,13669.0,205.7564346633777
976,Exeo,Seat,2012.0,0.0,459.98275862068965,838.75,814.3636363636364,0.0,712.6578947368421,0.0,0.0,13434.25,227.5
969,Tiguan,Volkswagen,2019.0,0.0,1052.3654809774205,900.8543021032505,591.2626005099039,628.0211233797407,635.5082774049217,0.0,0.0,13321.875,210.34219225246196
983,E-Class,Mercedes-Benz,2019.0,0.0,1229.2910816163649,1127.0747478216508,977.2541325090713,879.183569979716,881.1385407467258,0.0,0.0,13313.625,178.19577865058108
1030,Mondeo,Ford,2009.0,0.0,1137.5498250615524,1218.0353896575248,943.4865171135292,996.2492896381891,1137.9289947034454,0.0,0.0,13247.125,171.5163685049343
1017,Avensis,Toyota,2015.0,0.0,1173.2367361873398,1113.3403336604515,905.6155004208555,783.8048780487804,816.6695758422063,0.0,0.0,12878.0,181.43795629171512
1136,Astra,Vauxhall,2010.0,0.0,718.9314227226203,689.4689087656529,683.0139200718455,596.973674170164,606.5857002938296,0.0,0.0,12865.5,223.84972661238822
1001,Focus,Ford,2018.0,0.0,1306.0337763687355,1068.0682528810937,923.1788846002727,810.3083479568813,897.2892626637981,0.0,0.0,12812.25,176.63725090870298
1052,T-Roc,Volkswagen,2020.0,0.0,877.4337096660145,823.4549381504024,707.5789530461985,592.4363599255046,731.7523083439221,0.0,0.0,12806.625,207.90918881510112
1040,A4,Audi,2004.0,0.0,785.5915393263105,802.6680689264621,536.394495412844,572.9090909090909,517.7744916820702,0.0,0.0,12766.75,226.65661671865715
1003,Golf,Volkswagen,2020.0,0.0,1055.2214423391642,1118.153871137997,733.1644845417537,807.701090740311,901.9902163999668,0.0,0.0,12762.125,182.9913061675429
1086,Polo,Volkswagen,2010.0,0.0,1250.9671557309898,1076.0075557435534,830.9678425258234,1335.411992263056,1667.766371681416,0.0,0.0,12757.125,162.9181386731998
1021,Octavia,Skoda,2018.0,0.0,1230.307412932097,1202.456976985279,878.8249637155297,854.2087063151441,896.215536596318,0.0,0.0,12735.75,175.07455615272966
